anio,semana,nombreestacion,temperatura_promedio
2007,18,PAJARITO - AUT,21.682926829268293
2007,18,VILLANUEVA,18.637888198757764
2007,19,PAJARITO - AUT,22.293373493975903
2007,19,VILLANUEVA,19.201829268292684
2007,20,PAJARITO - AUT,22.218562874251496
2007,20,VILLANUEVA,18.988198757763975
2007,21,PAJARITO - AUT,19.93734939759036
2007,21,VILLANUEVA,17.057926829268293
2007,22,PAJARITO - AUT,19.672619047619047
2007,22,VILLANUEVA,17.031972789115645
2007,23,PAJARITO - AUT,21.69277108433735
2007,23,VILLANUEVA,18.501807228915663
2007,24,PAJARITO - AUT,23.265060240963855
2007,24,VILLANUEVA,19.42168674698795
2007,25,PAJARITO - AUT,22.639024390243904
2007,25,VILLANUEVA,19.08231707317073
2007,26,PAJARITO - AUT,23.321686746987954
2007,26,VILLANUEVA,19.791358024691355
2007,27,PAJARITO - AUT,23.6760736196319
2007,27,VILLANUEVA,20.323353293413174
2007,28,PAJARITO - AUT,22.59880239520958
2007,28,VILLANUEVA,19.363580246913582
2007,29,PAJARITO - AUT,20.974233128834356
2007,29,VILLANUEVA,17.604819277108433
2007,30,PAJARITO - AUT,21.549367088607596
2007,30,VILLANUEVA,18.33225806451613
2007,31,PAJARITO - AUT,22.840243902439024
2007,31,VILLANUEVA,19.264071856287426
2007,32,PAJARITO - AUT,21.75722891566265
2007,32,VILLANUEVA,18.495180722891565
2007,33,PAJARITO - AUT,21.286503067484663
2007,33,VILLANUEVA,17.9437125748503
2007,34,PAJARITO - AUT,20.540666666666667
2007,34,VILLANUEVA,17.240361445783133
2007,35,PAJARITO - AUT,20.764457831325302
2007,35,VILLANUEVA,17.67590361445783
2007,36,PAJARITO - AUT,21.52926829268293
2007,36,VILLANUEVA,18.14457831325301
2007,37,PAJARITO - AUT,21.955421686746988
2007,37,VILLANUEVA,18.491017964071855
2007,38,PAJARITO - AUT,21.98375
2007,38,VILLANUEVA,18.671951219512195
2007,39,PAJARITO - AUT,21.398757763975155
2007,39,VILLANUEVA,18.25151515151515
2007,40,PAJARITO - AUT,21.033939393939395
2007,40,VILLANUEVA,17.8066265060241
2007,41,PAJARITO - AUT,20.066666666666666
2007,41,VILLANUEVA,17.01818181818182
2007,42,PAJARITO - AUT,19.85
2007,42,VILLANUEVA,16.775
2007,43,PAJARITO - AUT,20.403086419753087
2007,43,VILLANUEVA,17.05272727272727
2007,44,PAJARITO - AUT,19.963124999999998
2007,44,VILLANUEVA,16.86121212121212
2007,45,PAJARITO - AUT,20.19320987654321
2007,45,VILLANUEVA,17.170987654320985
2007,46,PAJARITO - AUT,21.512883435582822
2007,46,VILLANUEVA,18.50496894409938
2007,47,PAJARITO - AUT,21.20731707317073
2007,47,VILLANUEVA,17.98385093167702
2007,48,PAJARITO - AUT,21.209615384615383
