anio,mes,tabla_origen,categoria,valor
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,34138
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,39795
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ASIGNACIÓN DE CITAS DE CONSULTA M,38708
2023,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,12212
2023,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,12433
2023,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,14388
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,12382
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,13549
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS POS,12166
2023,ENE,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3443
2023,FEB,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,4003
2023,MAR,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,4036
2023,ABR,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,3772
2023,MAY,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,4574
2023,JUN,motivo_especifico_legacy_2021_2023,DEMORA DE LA PROGRAMACIÓN DE EXÁMENES DE LABORATORIO O DIAGN,4455
2023,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,5471
2023,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,5995
2023,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,6980
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,5707
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,6685
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA PROGRAMACIÓN DE CIRUGÍA,6420
2023,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,7021
2023,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,7778
2023,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,9140
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,7245
2023,MAY,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,8073
2023,JUN,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD PARA LA PRESTACIÓN DE SERVICIOS DE IMAG,7696
2023,ENE,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2004
2023,FEB,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2087
2023,MAR,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2455
2023,ABR,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2212
2023,MAY,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2653
2023,JUN,motivo_especifico_legacy_2021_2023,"NO APLICACIÓN DE NORMAS, GUÍAS O PROTOCOLOS DE ATENCIÓN",2435
2023,ENE,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2542
2023,FEB,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2776
2023,MAR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2831
2023,ABR,motivo_especifico_legacy_2021_2023,FALTA DE OPORTUNIDAD EN LA ENTREGA DE MEDICAMENTOS NO POS,2354
