anio,semana,comuna,casos_dengue,temperatura_promedio,precipitacion_acumulada,temperatura_lag2,precipitacion_lag2,temperatura_lag4,precipitacion_lag4,casos_dengue_semana_siguiente
2017,1,Altavista,2,20.30386904761905,11.716000000000001,,,,,3.0
2017,2,Altavista,3,19.29287918871252,1.0390000000000001,,,,,1.0
2017,3,Altavista,1,19.181688311688312,30.721,20.30386904761905,11.716000000000001,,,1.0
2017,4,Altavista,1,20.63125,,19.29287918871252,1.0390000000000001,,,1.0
2017,6,Altavista,1,21.408035714285717,1.8929999999999998,20.63125,,19.29287918871252,1.0390000000000001,1.0
2017,7,Altavista,1,20.375515041345878,10.851,21.180059523809526,1.5950000000000002,19.181688311688312,30.721,1.0
2017,10,Altavista,1,19.051488095238096,106.376,19.97134776095869,120.549,21.408035714285717,1.8929999999999998,1.0
2017,11,Altavista,1,19.25224358974359,94.74199999999999,20.148988095238096,38.852000000000004,20.375515041345878,10.851,3.0
2017,13,Altavista,3,20.10198578746122,172.739,19.25224358974359,94.74199999999999,20.148988095238096,38.852000000000004,2.0
2017,14,Altavista,2,21.110778443113773,44.946,19.27172619047619,105.09800000000001,19.051488095238096,106.376,1.0
2017,15,Altavista,1,20.376488095238095,28.35,20.10198578746122,172.739,19.25224358974359,94.74199999999999,1.0
2017,21,Altavista,1,21.50029761904762,5.035,19.364150270886796,98.997,20.7125,120.792,1.0
2017,25,Altavista,1,20.299999999999997,58.189,20.687693452380955,103.055,21.50029761904762,5.035,1.0
2017,28,Altavista,1,19.86391694725028,18.069,20.762824675324673,106.402,19.27596770744226,73.822,1.0
2017,30,Altavista,1,22.080308219178086,0.325,19.86391694725028,18.069,20.762824675324673,106.402,2.0
2017,37,Altavista,2,20.543082368082366,108.944,20.95571535500428,45.766999999999996,20.811791944062186,80.828,1.0
2017,39,Altavista,1,19.83614982578397,60.737,20.543082368082366,108.944,20.95571535500428,45.766999999999996,1.0
2017,40,Altavista,1,19.5602991355778,95.911,20.53001290877797,83.201,20.048809523809524,138.48200000000003,1.0
2017,41,Altavista,1,20.355227726365452,22.633000000000003,19.83614982578397,60.737,20.543082368082366,108.944,1.0
2017,43,Altavista,1,18.59555860805861,42.842,20.355227726365452,22.633000000000003,19.83614982578397,60.737,2.0
2017,44,Altavista,2,19.52467532467532,51.763999999999996,21.79917857142857,36.388,19.5602991355778,95.911,1.0
2017,46,Altavista,1,19.21347147349506,104.48599999999999,19.52467532467532,51.763999999999996,21.79917857142857,36.388,2.0
2017,47,Altavista,2,20.031569004847448,50.376999999999995,19.95096585804133,8.887,18.59555860805861,42.842,2.0
2018,7,Altavista,2,21.39940476190476,58.16,20.89712552742616,55.019,19.335714285714282,39.298,2.0
2018,9,Altavista,2,21.317857142857143,7.182,21.39940476190476,58.16,20.89712552742616,55.019,1.0
2018,11,Altavista,1,21.319489614901325,12.459,21.317857142857143,7.182,21.39940476190476,58.16,1.0
2018,28,Altavista,1,21.99434523809524,2.033,19.641964285714288,35.028999999999996,21.077564513829483,40.980999999999995,1.0
2018,32,Altavista,1,21.707008448540705,0.033,18.92559523809524,28.7,21.99434523809524,2.033,1.0
2018,39,Altavista,1,20.383035714285715,132.032,19.54732142857143,101.31299999999999,21.44077380952381,28.060000000000002,2.0
2018,42,Altavista,2,19.423627744510977,107.757,19.59791666666667,244.417,21.439583333333335,43.509,1.0
2018,44,Altavista,1,19.163027680397313,121.576,19.423627744510977,107.757,19.59791666666667,244.417,1.0
2018,48,Altavista,1,19.56934523809524,38.900999999999996,20.524666737952664,43.536,19.163027680397313,121.576,1.0
2018,50,Altavista,1,20.68204604130809,6.422000000000001,19.56934523809524,38.900999999999996,20.524666737952664,43.536,1.0
2019,7,Altavista,1,21.84583333333333,2.823,20.58469489592244,19.978,20.54761904761905,16.539,1.0
2019,18,Altavista,1,22.4164156626506,0.0,20.26900662959795,30.4,19.54794426048565,81.5,3.0
2019,30,Altavista,3,20.987724550898204,21.4,20.98482142857143,29.8,21.656854148845166,3.2,1.0
2019,33,Altavista,1,21.651785714285715,6.1,21.598642857142856,8.8,21.879348445965213,10.1,1.0
2019,34,Altavista,1,22.284559452523524,1.874,22.56467770034843,0.0,20.987724550898204,21.4,1.0
2019,35,Altavista,1,22.22268246187364,3.834,21.651785714285715,6.1,21.598642857142856,8.8,1.0
2019,36,Altavista,1,22.34106060606061,51.072,22.284559452523524,1.874,22.56467770034843,0.0,1.0
2019,38,Altavista,1,19.6575,72.412,22.34106060606061,51.072,22.284559452523524,1.874,2.0
2019,40,Altavista,2,19.811947533504423,64.07900000000001,19.6575,72.412,22.34106060606061,51.072,2.0
2019,42,Altavista,2,19.741271645021644,77.337,19.811947533504423,64.07900000000001,19.6575,72.412,1.0
2019,50,Altavista,1,19.78839285714286,65.613,21.175400983746794,15.971,19.280833333333334,86.971,1.0
2020,2,Altavista,1,20.4320533888402,0.0,21.583768177929855,44.2,19.78839285714286,65.613,1.0
2020,4,Altavista,1,20.1506599378882,74.81,20.4320533888402,0.0,21.583768177929855,44.2,2.0
2020,6,Altavista,2,21.638881401617247,3.067,20.1506599378882,74.81,20.4320533888402,0.0,2.0
2020,7,Altavista,2,22.251461723930078,11.719000000000001,20.95476907630522,30.737000000000002,22.372500815394652,0.0,1.0
2020,15,Altavista,1,23.511805555555554,16.224,21.103600750645086,14.557,20.87708333333333,58.356,1.0
2020,25,Altavista,1,21.43109756097561,2.254,22.179166666666667,4.182,23.55875,15.329,1.0
2020,27,Altavista,1,21.517532467532465,1.376,21.43109756097561,2.254,22.179166666666667,4.182,2.0
2020,28,Altavista,2,21.12606060606061,2.173,22.36050955414013,1.069,21.921818181818185,0.728,1.0
2021,27,Altavista,1,22.5874251497006,20.381,20.59583333333333,35.75,20.729936305732483,63.645,1.0
2021,34,Altavista,1,21.30328947368421,29.291,21.43956834532374,48.203,22.093333333333334,29.423,1.0
2021,35,Altavista,1,21.0,78.581,20.85462962962963,26.892,22.59820359281437,14.463,1.0
2021,49,Altavista,1,21.98273809523809,1.032,20.374305555555555,52.711,20.645454545454545,71.947,
2017,1,Aranjuez,1,20.30386904761905,11.716000000000001,,,,,4.0
2017,2,Aranjuez,4,19.29287918871252,1.0390000000000001,,,,,4.0
2017,3,Aranjuez,4,19.181688311688312,30.721,20.30386904761905,11.716000000000001,,,4.0
2017,4,Aranjuez,4,20.63125,,19.29287918871252,1.0390000000000001,,,2.0
2017,5,Aranjuez,2,21.180059523809526,1.5950000000000002,19.181688311688312,30.721,20.30386904761905,11.716000000000001,4.0
2017,6,Aranjuez,4,21.408035714285717,1.8929999999999998,20.63125,,19.29287918871252,1.0390000000000001,2.0
2017,7,Aranjuez,2,20.375515041345878,10.851,21.180059523809526,1.5950000000000002,19.181688311688312,30.721,3.0
2017,9,Aranjuez,3,20.148988095238096,38.852000000000004,20.375515041345878,10.851,21.180059523809526,1.5950000000000002,4.0
2017,10,Aranjuez,4,19.051488095238096,106.376,19.97134776095869,120.549,21.408035714285717,1.8929999999999998,2.0
2017,11,Aranjuez,2,19.25224358974359,94.74199999999999,20.148988095238096,38.852000000000004,20.375515041345878,10.851,1.0
2017,12,Aranjuez,1,19.27172619047619,105.09800000000001,19.051488095238096,106.376,19.97134776095869,120.549,1.0
2017,13,Aranjuez,1,20.10198578746122,172.739,19.25224358974359,94.74199999999999,20.148988095238096,38.852000000000004,1.0
2017,14,Aranjuez,1,21.110778443113773,44.946,19.27172619047619,105.09800000000001,19.051488095238096,106.376,3.0
2017,15,Aranjuez,3,20.376488095238095,28.35,20.10198578746122,172.739,19.25224358974359,94.74199999999999,5.0
2017,16,Aranjuez,5,20.133928571428577,33.571,21.110778443113773,44.946,19.27172619047619,105.09800000000001,2.0
2017,17,Aranjuez,2,20.7125,120.792,20.376488095238095,28.35,20.10198578746122,172.739,4.0
2017,18,Aranjuez,4,19.254166666666666,115.362,20.133928571428577,33.571,21.110778443113773,44.946,1.0
2017,19,Aranjuez,1,19.364150270886796,98.997,20.7125,120.792,20.376488095238095,28.35,2.0
2017,20,Aranjuez,2,20.583057100085547,147.251,19.254166666666666,115.362,20.133928571428577,33.571,4.0
2017,21,Aranjuez,4,21.50029761904762,5.035,19.364150270886796,98.997,20.7125,120.792,5.0
2017,22,Aranjuez,5,22.031569004847448,18.01,20.583057100085547,147.251,19.254166666666666,115.362,1.0
2017,23,Aranjuez,1,20.687693452380955,103.055,21.50029761904762,5.035,19.364150270886796,98.997,3.0
2017,24,Aranjuez,3,19.27596770744226,73.822,22.031569004847448,18.01,20.583057100085547,147.251,2.0
2017,25,Aranjuez,2,20.299999999999997,58.189,20.687693452380955,103.055,21.50029761904762,5.035,5.0
2017,26,Aranjuez,5,20.762824675324673,106.402,19.27596770744226,73.822,22.031569004847448,18.01,7.0
2017,27,Aranjuez,7,22.02601351351351,6.064,20.299999999999997,58.189,20.687693452380955,103.055,5.0
2017,28,Aranjuez,5,19.86391694725028,18.069,20.762824675324673,106.402,19.27596770744226,73.822,2.0
2017,29,Aranjuez,2,21.29785973229225,23.009,22.02601351351351,6.064,20.299999999999997,58.189,3.0
2017,30,Aranjuez,3,22.080308219178086,0.325,19.86391694725028,18.069,20.762824675324673,106.402,2.0
2017,31,Aranjuez,2,20.839872798434442,27.232,21.29785973229225,23.009,22.02601351351351,6.064,3.0
2017,32,Aranjuez,3,21.427187461811073,62.252,22.080308219178086,0.325,19.86391694725028,18.069,2.0
2017,33,Aranjuez,2,20.811791944062186,80.828,20.839872798434442,27.232,21.29785973229225,23.009,3.0
2017,34,Aranjuez,3,20.984730538922154,27.445999999999998,21.427187461811073,62.252,22.080308219178086,0.325,2.0
2017,35,Aranjuez,2,20.95571535500428,45.766999999999996,20.811791944062186,80.828,20.839872798434442,27.232,3.0
2017,37,Aranjuez,3,20.543082368082366,108.944,20.95571535500428,45.766999999999996,20.811791944062186,80.828,2.0
2017,38,Aranjuez,2,20.53001290877797,83.201,20.048809523809524,138.48200000000003,20.984730538922154,27.445999999999998,1.0
2017,39,Aranjuez,1,19.83614982578397,60.737,20.543082368082366,108.944,20.95571535500428,45.766999999999996,1.0
2017,40,Aranjuez,1,19.5602991355778,95.911,20.53001290877797,83.201,20.048809523809524,138.48200000000003,1.0
2017,42,Aranjuez,1,21.79917857142857,36.388,19.5602991355778,95.911,20.53001290877797,83.201,3.0
2017,43,Aranjuez,3,18.59555860805861,42.842,20.355227726365452,22.633000000000003,19.83614982578397,60.737,2.0
2017,44,Aranjuez,2,19.52467532467532,51.763999999999996,21.79917857142857,36.388,19.5602991355778,95.911,2.0
2017,45,Aranjuez,2,19.95096585804133,8.887,18.59555860805861,42.842,20.355227726365452,22.633000000000003,1.0
2017,46,Aranjuez,1,19.21347147349506,104.48599999999999,19.52467532467532,51.763999999999996,21.79917857142857,36.388,6.0
2017,47,Aranjuez,6,20.031569004847448,50.376999999999995,19.95096585804133,8.887,18.59555860805861,42.842,2.0
2017,48,Aranjuez,2,20.248511904761905,31.853,19.21347147349506,104.48599999999999,19.52467532467532,51.763999999999996,1.0
2017,49,Aranjuez,1,20.544477911646588,117.631,20.031569004847448,50.376999999999995,19.95096585804133,8.887,3.0
2017,50,Aranjuez,3,20.267112204163105,19.587,20.248511904761905,31.853,19.21347147349506,104.48599999999999,3.0
2017,51,Aranjuez,3,20.676129261363638,0.0,20.544477911646588,117.631,20.031569004847448,50.376999999999995,1.0
2017,52,Aranjuez,1,19.089713796477493,45.818,20.267112204163105,19.587,20.248511904761905,31.853,1.0
