anio,semana,casos_dengue,temperatura_promedio,precipitacion_acumulada,temperatura_lag2,precipitacion_lag2,temperatura_lag4,precipitacion_lag4,casos_dengue_semana_siguiente
2017,1,98,20.30386904761905,11.716,,,,,99.0
2017,2,99,19.29287918871252,1.039,,,,,80.0
2017,3,80,19.181688311688312,30.721,20.30386904761905,11.716,,,68.0
2017,4,68,20.63125,,19.29287918871252,1.039,,,58.0
2017,5,58,21.18005952380953,1.5950000000000002,19.181688311688312,30.721,20.30386904761905,11.716,53.0
2017,6,53,21.40803571428572,1.893,20.63125,,19.29287918871252,1.039,48.0
2017,7,48,20.37551504134588,10.851,21.18005952380953,1.5950000000000002,19.181688311688312,30.721,48.0
2017,8,48,19.97134776095869,120.549,21.40803571428572,1.893,20.63125,,53.0
2017,9,53,20.148988095238096,38.852,20.37551504134588,10.851,21.18005952380953,1.5950000000000002,51.0
2017,10,51,19.051488095238096,106.376,19.97134776095869,120.549,21.40803571428572,1.893,38.0
2017,11,38,19.25224358974359,94.742,20.148988095238096,38.852,20.37551504134588,10.851,42.0
2017,12,42,19.27172619047619,105.098,19.051488095238096,106.376,19.97134776095869,120.549,42.0
2017,13,42,20.10198578746122,172.739,19.25224358974359,94.742,20.148988095238096,38.852,53.0
2017,14,53,21.110778443113773,44.946,19.27172619047619,105.098,19.051488095238096,106.376,44.0
2017,15,44,20.37648809523809,28.35,20.10198578746122,172.739,19.25224358974359,94.742,60.0
2017,16,60,20.133928571428577,33.571,21.110778443113773,44.946,19.27172619047619,105.098,40.0
2017,17,40,20.7125,120.792,20.37648809523809,28.35,20.10198578746122,172.739,39.0
2017,18,39,19.254166666666663,115.362,20.133928571428577,33.571,21.110778443113773,44.946,43.0
2017,19,43,19.3641502708868,98.997,20.7125,120.792,20.37648809523809,28.35,50.0
2017,20,50,20.583057100085547,147.251,19.254166666666663,115.362,20.133928571428577,33.571,45.0
2017,21,45,21.50029761904762,5.035,19.3641502708868,98.997,20.7125,120.792,44.0
2017,22,44,22.031569004847448,18.01,20.583057100085547,147.251,19.254166666666663,115.362,34.0
2017,23,34,20.687693452380955,103.055,21.50029761904762,5.035,19.3641502708868,98.997,39.0
2017,24,39,19.27596770744226,73.822,22.031569004847448,18.01,20.583057100085547,147.251,27.0
2017,25,27,20.3,58.189,20.687693452380955,103.055,21.50029761904762,5.035,40.0
2017,26,40,20.762824675324676,106.402,19.27596770744226,73.822,22.031569004847448,18.01,51.0
2017,27,51,22.02601351351351,6.064,20.3,58.189,20.687693452380955,103.055,51.0
