anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin
2024,MAY,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.06850873501955834,11462,785.2471207941777
2024,MAY,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.07958919693923668,11462,912.2513753175308
2024,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.0804463353437125,11462,922.0758957096326
2024,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04449327535960852,11462,509.9819221718329
2024,MAY,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.04322315208752162,11462,495.42376922717284
2024,MAY,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.025511555784125797,11462,292.4134523976499
2024,JUN,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.1234275008973203,10009,1235.3858564812788
2024,JUN,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.19383869245112886,10009,1940.1314727433487
2024,JUN,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.20449272951702283,10009,2046.7677297358814
2024,JUN,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.13915905768237488,10009,1392.8430083428902
2024,JUN,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.07819380367507375,10009,782.6417809838132
2024,JUN,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.0707175936058269,10009,707.8123944007215
2024,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.07637290005165064,10009,764.4163566169713
2024,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04673069010496459,10009,467.7274772605906
2024,JUN,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.04109289234782761,10009,411.2987595094066
2024,JUN,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.025974139666809653,10009,259.97516392509783
2024,JUL,NEGACIÓN PARA LA ENTREGA DE TECNOLOGÍAS EN SALUD Y/O DE OTRO,0.11338521702094707,11816,1339.7597243195107
2024,JUL,NEGACIÓN EN LA ASIGNACIÓN DE CITAS O CONSULTAS,0.19877647423239245,11816,2348.742819529949
2024,JUL,FALTA DE OPORTUNIDAD EN LAS CITAS O CONSULTAS,0.2130251287412398,11816,2517.1049212064895
2024,JUL,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.14333062299144306,11816,1693.5946412668911
2024,JUL,FALTA DE OPORTUNIDAD EN LA ENTREGA O ENTREGA INCOMPLETA DE T,0.07419367328764472,11816,876.67244356681
2024,JUL,NEGACIÓN EN LA ATENCIÓN EN OTROS SERVICIOS DE SALUD,0.06870329500135518,11816,811.7981337360128
2024,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE OTROS SERVICIOS D,0.07514616486622527,11816,887.9270840593178
2024,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE TECNOLOGÍAS EN SA,0.04770201726874976,11816,563.6470360475471
2024,JUL,FALTA DE OPORTUNIDAD EN LA AUTORIZACIÓN DE CITAS DE CONSULTA,0.040500251674604096,11816,478.550973787122
2024,JUL,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.025237154915398612,11816,298.20222248035003
