anio,mes,categoria,proporcion,total_medellin,reclamos_estimados_medellin,variacion_pct,promedio_movil_3m,z_score,nivel_riesgo
2024,ENE,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0226890756302521,8855,200.91176470588235,,200.91176470588235,-1.2286427020682427,bajo
2024,FEB,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0196039302886899,9055,177.51358876408764,-11.645995930625386,189.212676734985,-1.4719336182929847,bajo
2024,MAR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0225459357857992,9066,204.40145383405576,15.146933402209338,194.27560243467528,-1.1923574092554683,bajo
2024,ABR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0226985382732844,12642,286.9549208508625,40.38790599005628,222.95665448300198,-0.3339781630266103,bajo
2024,MAY,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0255115557841257,11462,292.4134523976499,1.9022261512721572,261.2566090275227,-0.27722112587281134,bajo
2024,JUN,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0259741396668096,10009,259.97516392509783,-11.093295539782345,279.7811790578701,-0.6145098505529605,bajo
2024,JUL,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0252371549153986,11816,298.20222248035003,14.704119415909256,283.5302796010326,-0.21703031524133673,bajo
2024,AGO,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0226784491780832,11212,254.2707721846696,-14.73210022724606,270.8160528633725,-0.673823307144021,bajo
2024,SEP,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0201962445291543,12446,251.36245940985455,-1.1437857170240595,267.9451513582914,-0.7040635310577575,bajo
2024,OCT,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0179932997922695,14117,254.0114131674692,1.0538382556543269,253.2148815873311,-0.6765200854348931,bajo
2024,NOV,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0181233890134904,11777,213.43915241187693,-15.972613297042304,239.6043416630669,-1.0983847007404597,bajo
2025,ENE,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0223578669299769,13174,294.54253893551675,37.99836422098104,253.99770150495428,-0.2550831858980059,bajo
2025,FEB,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0193283178961514,13024,251.73201227947663,-14.534581935349067,253.23790120895674,-0.7002209727118635,bajo
2025,MAR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0203874038271848,14700,299.6948362596173,19.053128581394585,281.98979582487027,-0.20151032877611147,bajo
2025,ABR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0236563656890802,14332,339.0430330558983,13.129421009508068,296.8232938649974,0.2076266430191518,medio
2025,MAY,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0206721988289669,15946,329.6388825267065,-2.7737336008439306,322.792250614074,0.10984361906660242,medio
2025,JUN,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0216856755973834,14501,314.46398183765723,-4.603492334621606,327.7152991400874,-0.047942846914432624,bajo
2025,JUL,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.020559865799958,18804,386.6077165024114,22.941811727741367,343.5701936222584,0.7021974781316251,medio
2025,AGO,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0206418522666277,14221,293.5477810837138,-24.070894461341453,331.5398264745941,-0.2654265370117394,bajo
2025,SEP,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0225845907113892,19037,429.9428533727168,46.464351318024754,370.0327836529473,1.1527900875781085,medio
2025,OCT,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0238317289200111,17694,421.6786115106777,-1.92217216711702,381.7230819890361,1.0668596723389048,medio
2026,ENE,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0325993986833238,14509,472.9846754963455,12.167101338591046,441.53538012658004,1.6003328518726145,alto
2026,FEB,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0263122294372294,15875,417.7066423160173,-11.687066419714343,437.4566431076801,1.0255596997688525,medio
2026,MAR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0312226937069167,16504,515.2993369389538,23.363931701402652,468.66355158377223,2.040314702497262,alto
2026,ABR,FALTA DE OPORTUNIDAD EN EL PROCESO DE REFERENCIA Y CONTRARRE,0.0320986357642171,16092,516.5312467177818,0.2390668278647201,483.17907532425096,2.0531239257265783,alto
2024,ENE,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.1041394335511982,8855,922.1546840958606,,922.1546840958606,-1.9948715381513977,bajo
2024,FEB,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.1062394283216451,9055,961.9980234524965,4.320678519970955,942.0763537741785,-1.8804790264705813,bajo
2024,MAR,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.1097376193946833,9066,994.8812574321992,3.418222613565125,959.6779883268522,-1.7860693763793505,bajo
2024,ABR,FALTA DE OPORTUNIDAD EN LA ATENCIÓN EN OTROS SERVICIOS DE SA,0.1144612609148915,12642,1447.0192604860592,45.446428875425184,1134.632847123585,-0.487955246619151,bajo
